#metadataBlock	name	dataverseAlias	displayName												
	timePeriodCovered_zh	覆盖的时间段	覆盖的时间段		none	49	;	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE		citation_zh
	timePeriodCoveredStart_zh	开始	开始	YYYY-MM-DD	date	50	#NAME: #VALUE 	TRUE	FALSE	FALSE	TRUE	FALSE	FALSE	timePeriodCovered_zh	citation_zh
	timePeriodCoveredEnd_zh	结束	结束	YYYY-MM-DD	date	51	#NAME: #VALUE 	TRUE	FALSE	FALSE	TRUE	FALSE	FALSE	timePeriodCovered_zh	citation_zh
	dateOfCollection_zh	采集日期	采集日期		none	52	;	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE		citation_zh
	dateOfCollectionStart_zh	开始	开始	YYYY-MM-DD	date	53	#NAME: #VALUE 	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	dateOfCollection_zh	citation_zh
	dateOfCollectionEnd_zh	结束	结束	YYYY-MM-DD	date	54	#NAME: #VALUE 	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	dateOfCollection_zh	citation_zh
	grantNumber_zh	资助信息	资助信息		none	55	:	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE		citation_zh
	grantNumberAgency_zh	资助机构	资助机构		text	56	#VALUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	grantNumber_zh	citation_zh
	grantNumberValue_zh	资助编号	资助编号		text	57	#VALUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	grantNumber_zh	citation_zh
	software_zh	软件	软件		none	58	,	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE		citation_zh
	softwareName_zh	名称	名称		text	59	#VALUE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	software_zh	citation_zh
	softwareVersion_zh	版本	版本		text	60	#NAME: #VALUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	software_zh	citation_zh
	notesText_zh	备注	备注		textbox	61		FALSE	FALSE	FALSE	FALSE	TRUE	FALSE		citation_zh
	series_zh	系列	系列		none	62	:	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE		citation_zh
	seriesName_zh	名称	名称		text	63	#VALUE	TRUE	FALSE	FALSE	TRUE	FALSE	FALSE	series_zh	citation_zh
	seriesInformation_zh	描述	系列的历史或特征描述		textbox	64	#VALUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	series_zh	citation_zh
	publication_zh	相关出版物	相关出版物		none	65		FALSE	FALSE	TRUE	FALSE	FALSE	FALSE		citation_zh
	publicationRelationType_zh	相关类型	相关类型		text	66	#VALUE	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	publication_zh	citation_zh
	publicationCitation_zh	引用信息	对该出版物的引用信息		textbox	67	#VALUE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	publication_zh	citation_zh
	publicationIDType_zh	ID类型	唯一标识符类型，例如DOI		text	68	#VALUE: 	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	publication_zh	citation_zh
	publicationIDNumber_zh	ID数值	ID数值.		text	69	#VALUE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	publication_zh	citation_zh
	publicationURL_zh	URL	该出版物的访问链接	请输入绝对路径，以http://开头	url	70	<a href="#VALUE">#VALUE</a>	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	publication_zh	citation_zh
	relatedDatasets_zh	相关数据集	相关数据集		none	71		FALSE	FALSE	TRUE	FALSE	FALSE	FALSE		citation_zh
	relatedDatasetsRelationType_zh	相关类型	相关类型		text	72	#VALUE	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	relatedDatasets_zh	citation_zh
	relatedDatasetsCitation_zh	引用信息	对该数据集的引用信息		textbox	73	#VALUE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	relatedDatasets_zh	citation_zh
	relatedDatasetsIDType_zh	ID类型	唯一标识符类型，例如DOI		text	74	#VALUE: 	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	relatedDatasets_zh	citation_zh
	relatedDatasetsIDNumber_zh	ID数值	ID数值.		text	75	#VALUE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	relatedDatasets_zh	citation_zh
	relatedDatasetsURL_zh	URL	该数据集的访问链接	Enter full URL, starting with http://	url	76	<a href="#VALUE">#VALUE</a>	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	relatedDatasets_zh	citation_zh
